leading_item_id,following_item_id,value
BSRMSVTC,OGAFEHLU,332607
BSRMSVTC,QSDCUCLB,311920
BSRMSVTC,ROACSLMG,2441872
BSRMSVTC,TANNMIMB,307483
BSRMSVTC,VMAQSTJE,364548
BSRMSVTC,WPQXWHYO,11413869
BSRMSVTC,XIFHSOWQ,357658
BTMOEMEP,ATLDMDBO,41826497
BTMOEMEP,BSRMSVTC,611650
BTMOEMEP,DNMPSKTB,4899109
BTMOEMEP,GYHKIVQT,18915888
BTMOEMEP,IGDVVKUD,278960
BTMOEMEP,JBVHSUWY,617361
BTMOEMEP,JPBRUTWP,5624960
BTMOEMEP,LPHPPJUG,1424732
BTMOEMEP,QRKRBYJL,2349692
BTMOEMEP,QVLMOEYE,1173485
BTMOEMEP,RAWUKQMJ,3836385
BTMOEMEP,RCBZUSIM,296525
BTMOEMEP,SDWAYPIK,5807396
BTMOEMEP,UGEQLMXM,491693
BTMOEMEP,VBYCLTYZ,748142
BTMOEMEP,WQMVCOEM,272610
BTMOEMEP,XIIEJNEE,339510
BTMOEMEP,XUOIQPFL,2277955
BUZIIBYG,FDXPMYGF,242412
BUZIIBYG,FWUCPMMW,278926
CCLHWFWF,FCYBOAXC,101254295
CCLHWFWF,LSOIUSXD,417519
CCLHWFWF,OGAFEHLU,263226
CCLHWFWF,VUAFAIYJ,1026034
CCLHWFWF,VWMBASNE,261102
DBWLZWNK,AXULOHBQ,351515
DBWLZWNK,QVLMOEYE,1254365
DBWLZWNK,RCBZUSIM,340308
DEWLVASR,APQGTRMF,413129
DEWLVASR,GYHKIVQT,19012676
DEWLVASR,KFQSHBNH,9866198
DEWLVASR,KJNSOAHR,13914529
DEWLVASR,OKMBFVKS,2181578
DEWLVASR,RJCAXSGH,4658783
DEWLVASR,SDWAYPIK,5890573
DEWLVASR,VMAQSTJE,367334
DEWLVASR,ZKENOUDA,675787
DEWLVASR,ZXERAXWP,328038
DJBLNPNC,ANWUJOKX,347262
DJBLNPNC,BLANHGYY,390572
DJBLNPNC,BSRMSVTC,626507
DJBLNPNC,FDXPMYGF,329721
DJBLNPNC,SUOYXCHP,314691
DJBLNPNC,UQYUIVVR,7151951
DJBLNPNC,WHPUAOID,387184
DJBLNPNC,WQMVCOEM,325453
DNMPSKTB,ATLDMDBO,41875829
DNMPSKTB,AXULOHBQ,337262
DNMPSKTB,DEWLVASR,729654
DNMPSKTB,EVBVXETX,4906156
DNMPSKTB,GYHKIVQT,18927075
DNMPSKTB,JPBRUTWP,5681633
DNMPSKTB,LRVGFDFM,2136514
DNMPSKTB,OGAFEHLU,324758
DNMPSKTB,OKMBFVKS,2117098
DNMPSKTB,QRKRBYJL,2364206
DNMPSKTB,QVLMOEYE,1214118
DNMPSKTB,RAWUKQMJ,3875695
DNMPSKTB,RJGPVEXX,954006
DNMPSKTB,SDWAYPIK,5805560
DNMPSKTB,UGEQLMXM,510931
DNMPSKTB,VBYCLTYZ,785097
DNMPSKTB,VWMBASNE,382560
DNMPSKTB,XUOIQPFL,2282628
DNMPSKTB,ZGJXVMNI,2594788
DNMPSKTB,ZKENOUDA,678284
ELQGMQWE,AANGBULD,800091
ELQGMQWE,FQCLOEXA,2240528
ELQGMQWE,KFQSHBNH,9898760
ELQGMQWE,LLHREMKS,342834
ELQGMQWE,OKMBFVKS,2193418
ELQGMQWE,RJCAXSGH,4693158
ELQGMQWE,XIIEJNEE,356993
ELQGMQWE,ZKENOUDA,709577
EVBVXETX,FRHNWLNI,1063748
EVBVXETX,KEUWZRKO,697108
EVBVXETX,KJNSOAHR,13921854
EVBVXETX,LUENUFGA,3559527
EVBVXETX,SAHWCZNH,1956171
EVBVXETX,WPQXWHYO,11372078
EVBVXETX,XIFHSOWQ,418476
FDXPMYGF,BSRMSVTC,660417
FDXPMYGF,HCDTGMST,355740
FDXPMYGF,HXYSSRXE,4859287
FDXPMYGF,LUENUFGA,3516491
FDXPMYGF,OGAFEHLU,309408
FDXPMYGF,SUOYXCHP,345583
FDXPMYGF,VMAQSTJE,348992
FITUEHWN,ANWUJOKX,314946
FITUEHWN,TANNMIMB,335918
FQCLOEXA,EVBVXETX,4913325
FQCLOEXA,FITUEHWN,398341
FQCLOEXA,LUENUFGA,3548976
FQCLOEXA,SAHWCZNH,1956592
FQCLOEXA,WPQXWHYO,11377716
FRHNWLNI,ATLDMDBO,41894611
FRHNWLNI,QRKRBYJL,2380469
FTSVTTSR,LLHREMKS,377523
FTSVTTSR,SAAYMURU,372395
FTSVTTSR,XIIEJNEE,336613
FTSVTTSR,ZCELVYQU,494674
FWUCPMMW,BSRMSVTC,632322
FWUCPMMW,FDXPMYGF,336159
FWUCPMMW,FTSVTTSR,498648
FWUCPMMW,JSLXRQOK,367491
FWUCPMMW,LLHREMKS,339457
FWUCPMMW,NAQIHUKZ,334786
FWUCPMMW,WHPUAOID,385971
FWUCPMMW,XIIEJNEE,356478
GYHKIVQT,AANGBULD,803487
GYHKIVQT,AXULOHBQ,294717
GYHKIVQT,BEZYMBBT,3166773
GYHKIVQT,DEWLVASR,661836
GYHKIVQT,DNMPSKTB,4840647
GYHKIVQT,ELQGMQWE,914297
GYHKIVQT,EVBVXETX,4841806
GYHKIVQT,FQCLOEXA,2251199
GYHKIVQT,HXYSSRXE,4787674
GYHKIVQT,KFQSHBNH,9903233
GYHKIVQT,KJNSOAHR,13931828
GYHKIVQT,RJCAXSGH,4622667
GYHKIVQT,WPQXWHYO,11298412
GYHKIVQT,XUOIQPFL,2269238
GYHKIVQT,ZGJXVMNI,2563136
GYHKIVQT,ZKENOUDA,642704
HCDTGMST,JERHKLYW,359129
HCDTGMST,TANNMIMB,332776
HCDTGMST,XIFHSOWQ,382128
HXYSSRXE,AXULOHBQ,375673
HXYSSRXE,BSRMSVTC,609951
HXYSSRXE,DNMPSKTB,4902080
HXYSSRXE,EVBVXETX,4903460
HXYSSRXE,FQCLOEXA,2281128
HXYSSRXE,KEUWZRKO,641771
HXYSSRXE,OGAFEHLU,292456
HXYSSRXE,PYZMVUWD,298314
HXYSSRXE,RJGPVEXX,940206
HXYSSRXE,SDWAYPIK,5809663
HXYSSRXE,UGEQLMXM,468094
HXYSSRXE,XIFHSOWQ,329089
HXYSSRXE,ZGJXVMNI,2546745
HXYSSRXE,ZKENOUDA,680396
IGDVVKUD,ATLDMDBO,41890407
IGDVVKUD,BTMOEMEP,14192254
IGDVVKUD,DJBLNPNC,308923
IGDVVKUD,HXYSSRXE,4813208
IGDVVKUD,QVLMOEYE,1257923
IGDVVKUD,SUOYXCHP,301305
IGDVVKUD,VBYCLTYZ,822132
JBVHSUWY,ELQGMQWE,1031246
JBVHSUWY,NAQIHUKZ,347044
JPBRUTWP,APQGTRMF,363032
JPBRUTWP,ATLDMDBO,41891551
JPBRUTWP,GYHKIVQT,18939622
JPBRUTWP,OKMBFVKS,2143232
JPBRUTWP,QRKRBYJL,2378683
JPBRUTWP,QVLMOEYE,1237129
JPBRUTWP,RCBZUSIM,326974
JPBRUTWP,SDWAYPIK,5839603
JPBRUTWP,VBYCLTYZ,808283
JPBRUTWP,ZGJXVMNI,2561156
JSLXRQOK,FTSVTTSR,502959
JSLXRQOK,LLHREMKS,348966
JSLXRQOK,NAQIHUKZ,339849
JSLXRQOK,XIIEJNEE,367440
KAGJCHMR,FWUCPMMW,338346
KAGJCHMR,LTOYKIML,727626
KEUWZRKO,LUENUFGA,3540488
KEUWZRKO,NZKBIBNU,596372
KEUWZRKO,SAHWCZNH,1935905
KEUWZRKO,WPQXWHYO,11436776
KEUWZRKO,XIFHSOWQ,387301
KEUWZRKO,XIPPENFQ,420899
KFQSHBNH,AANGBULD,741862
KFQSHBNH,ELQGMQWE,990500
KFQSHBNH,FWUCPMMW,311195
KFQSHBNH,KJNSOAHR,13899133
KFQSHBNH,OKMBFVKS,2173937
KFQSHBNH,RJCAXSGH,4659519
KFQSHBNH,YSYHGLQK,306360
KFQSHBNH,ZXERAXWP,336893
KJNSOAHR,RJCAXSGH,4645835
LLHREMKS,BLANHGYY,350396
LLHREMKS,ELQGMQWE,976366
LLHREMKS,FWUCPMMW,312953
LLHREMKS,GKQIJYDH,7598542
LLHREMKS,KFQSHBNH,9850211
LLHREMKS,LSOIUSXD,521013
LLHREMKS,UGEQLMXM,498269
LLHREMKS,ZCELVYQU,514734
LLHREMKS,ZXERAXWP,339529
LPHPPJUG,DDEXPPXU,356665
LRVGFDFM,ATLDMDBO,41789048
LRVGFDFM,BTMOEMEP,14130611
LRVGFDFM,DBWLZWNK,434814
LRVGFDFM,IGDVVKUD,258290
LRVGFDFM,JPBRUTWP,5637139
LRVGFDFM,LPHPPJUG,1383989
LRVGFDFM,OGAFEHLU,246343
LRVGFDFM,QRKRBYJL,2342832
LRVGFDFM,QSDCUCLB,355593
LRVGFDFM,QVLMOEYE,1188975
LRVGFDFM,SDWAYPIK,5747349
LRVGFDFM,UGEQLMXM,430664
LRVGFDFM,VBYCLTYZ,758463
LRVGFDFM,XIIEJNEE,279874
LSOIUSXD,AXULOHBQ,395017
LSOIUSXD,VUAFAIYJ,1011597
LSOIUSXD,VWMBASNE,429579
LSOIUSXD,WBLJNPZQ,462378
LTOYKIML,FTSVTTSR,500704
LTOYKIML,LLHREMKS,345523
LTOYKIML,XIIEJNEE,358567
LUENUFGA,DNMPSKTB,4908609
LUENUFGA,MIRCVAMV,363317
LUENUFGA,XIFHSOWQ,388825
LUENUFGA,XIPPENFQ,427533
MBSBZBXA,HCDTGMST,359759
MIRCVAMV,CCLHWFWF,15100728
MIRCVAMV,LTOYKIML,705642
NAQIHUKZ,FTSVTTSR,521906
NAQIHUKZ,GKQIJYDH,7568260
NAQIHUKZ,LLHREMKS,367029
NAQIHUKZ,SAAYMURU,362267
NAQIHUKZ,STZDBITS,21342939
NAQIHUKZ,ZCELVYQU,483025
NZKBIBNU,FTSVTTSR,479456
NZKBIBNU,LUENUFGA,3586050
NZKBIBNU,NAQIHUKZ,312996
NZKBIBNU,XIIEJNEE,335645
OGAFEHLU,ANWUJOKX,324361
OGAFEHLU,APQGTRMF,337517
OGAFEHLU,ATLDMDBO,41864961
OGAFEHLU,BTMOEMEP,14153664
OGAFEHLU,DBWLZWNK,489353
OGAFEHLU,DNMPSKTB,4952802
OGAFEHLU,GYHKIVQT,18964757
OGAFEHLU,IGDVVKUD,316860
OGAFEHLU,JPBRUTWP,5678887
OGAFEHLU,LRVGFDFM,2157015
OGAFEHLU,OKMBFVKS,2159198
OGAFEHLU,QRKRBYJL,2369241
OGAFEHLU,QSDCUCLB,356113
OGAFEHLU,QVLMOEYE,1228565
OGAFEHLU,RCBZUSIM,322125
OGAFEHLU,SDWAYPIK,5813776
OGAFEHLU,UGEQLMXM,527217
OGAFEHLU,UIFPPCLR,442814
OGAFEHLU,VBYCLTYZ,819351
OGAFEHLU,VWMBASNE,416961
OGAFEHLU,XIIEJNEE,378995
OGAFEHLU,XUOIQPFL,2249521
OKMBFVKS,ANWUJOKX,307484
OKMBFVKS,FDXPMYGF,299784
OKMBFVKS,FQCLOEXA,2291799
OKMBFVKS,GYHKIVQT,18985168
OKMBFVKS,KFQSHBNH,9934579
OKMBFVKS,RJCAXSGH,4725176
OKMBFVKS,ZGJXVMNI,2604394
OXKURKXR,APQGTRMF,359307
OXKURKXR,ATLDMDBO,41888065
OXKURKXR,AXULOHBQ,363854
OXKURKXR,JSLXRQOK,356108
OXKURKXR,QVLMOEYE,1257043
PYZMVUWD,XIFHSOWQ,392820
QKXNTIIB,FTSVTTSR,484228
QKXNTIIB,NAQIHUKZ,319735
QRKRBYJL,ANWUJOKX,340433
QRKRBYJL,APQGTRMF,385810
QRKRBYJL,ATLDMDBO,41896538
QRKRBYJL,AXULOHBQ,330555
QRKRBYJL,BTMOEMEP,14175062
QRKRBYJL,DNMPSKTB,4877267
QRKRBYJL,FDXPMYGF,290468
QRKRBYJL,GYHKIVQT,18977801
QRKRBYJL,HXYSSRXE,4812232
QRKRBYJL,JPBRUTWP,5691262
QRKRBYJL,LPHPPJUG,1472118
QRKRBYJL,QVLMOEYE,1240686
QRKRBYJL,RCBZUSIM,358761
QRKRBYJL,SDWAYPIK,5849148
QRKRBYJL,UGEQLMXM,506894
QRKRBYJL,VBYCLTYZ,811945
QRKRBYJL,ZGJXVMNI,2592475
QSDCUCLB,ANWUJOKX,347162
QSDCUCLB,ATLDMDBO,41879256
QSDCUCLB,BTMOEMEP,14140846
QSDCUCLB,DJBLNPNC,298122
QSDCUCLB,IGDVVKUD,319006
QSDCUCLB,QRKRBYJL,2364118
QSDCUCLB,QVLMOEYE,1224938
QSDCUCLB,SDWAYPIK,5826193
QSDCUCLB,SNHYOVBM,526132
QSDCUCLB,UGEQLMXM,539105
QSDCUCLB,VBYCLTYZ,810111
QSDCUCLB,XIIEJNEE,383116
QVLMOEYE,APQGTRMF,387447
QVLMOEYE,ATLDMDBO,41905063
QVLMOEYE,AXULOHBQ,353581
QVLMOEYE,BTMOEMEP,14168316
QVLMOEYE,DJBLNPNC,334301
QVLMOEYE,DNMPSKTB,4890795
QVLMOEYE,FDXPMYGF,299343
QVLMOEYE,GYHKIVQT,18974890
QVLMOEYE,HXYSSRXE,4800316
QVLMOEYE,JPBRUTWP,5709116
QVLMOEYE,LPHPPJUG,1489692
QVLMOEYE,QRKRBYJL,2408314
QVLMOEYE,RAWUKQMJ,3866717
QVLMOEYE,RCBZUSIM,359559
QVLMOEYE,SDWAYPIK,5852810
QVLMOEYE,VBYCLTYZ,828738
QVLMOEYE,WBLJNPZQ,450850
QVLMOEYE,ZGJXVMNI,2564005
QVLMOEYE,ZKENOUDA,698315
RAWUKQMJ,AXULOHBQ,362339
RAWUKQMJ,DNMPSKTB,4912503
RAWUKQMJ,HXYSSRXE,4848203
RAWUKQMJ,WPQXWHYO,11372078
RCBZUSIM,ATLDMDBO,41920723
RCBZUSIM,AXULOHBQ,370121
RCBZUSIM,BJALXPFS,473873
RCBZUSIM,DNMPSKTB,4899086
RCBZUSIM,FDXPMYGF,317122
RJCAXSGH,AANGBULD,745825
RJCAXSGH,ELQGMQWE,996376
RJCAXSGH,FWUCPMMW,304390
RJCAXSGH,KFQSHBNH,9878727
RJCAXSGH,KJNSOAHR,13912353
RJCAXSGH,OKMBFVKS,2180420
RJCAXSGH,YSYHGLQK,299555
RJCAXSGH,ZKENOUDA,696880
RJCAXSGH,ZXERAXWP,327043
RJGPVEXX,AANGBULD,779964
RJGPVEXX,GYHKIVQT,19031816
RJGPVEXX,KEUWZRKO,710886
RJGPVEXX,ZKENOUDA,678871
ROACSLMG,BTMOEMEP,14166376
ROACSLMG,IGDVVKUD,353284
SAHWCZNH,EVBVXETX,4944133
SAHWCZNH,LUENUFGA,3533764
SAHWCZNH,NZKBIBNU,592854
SAHWCZNH,WPQXWHYO,11436213
SAHWCZNH,WQMVCOEM,357833
SAHWCZNH,XIFHSOWQ,378038
SAHWCZNH,XIPPENFQ,417276
SDWAYPIK,ANWUJOKX,318905
SDWAYPIK,APQGTRMF,372691
SDWAYPIK,ATLDMDBO,41901468
SDWAYPIK,BEZYMBBT,3161637
SDWAYPIK,BTMOEMEP,14171140
SDWAYPIK,DEWLVASR,781719
SDWAYPIK,DNMPSKTB,4886225
SDWAYPIK,DUCMGGNW,983518
SDWAYPIK,GYHKIVQT,18971815
SDWAYPIK,HXYSSRXE,4804463
SDWAYPIK,JPBRUTWP,5685923
SDWAYPIK,KJNSOAHR,13917042
SDWAYPIK,LPHPPJUG,1477392
SDWAYPIK,OGAFEHLU,339199
SDWAYPIK,OKMBFVKS,2145054
SDWAYPIK,OXKURKXR,406273
SDWAYPIK,QRKRBYJL,2389656
SDWAYPIK,QVLMOEYE,1238104
SDWAYPIK,RCBZUSIM,326550
SDWAYPIK,UGEQLMXM,523299
SDWAYPIK,UIFPPCLR,431480
SDWAYPIK,VBYCLTYZ,807953
SDWAYPIK,WQMVCOEM,294747
SDWAYPIK,XUOIQPFL,2235556
SDWAYPIK,ZGJXVMNI,2572430
SDWAYPIK,ZKENOUDA,710223
SNHYOVBM,DJBLNPNC,344317
STZDBITS,XIIEJNEE,306156
SUOYXCHP,TANNMIMB,309038
TANNMIMB,MIRCVAMV,372066
TANNMIMB,PYZMVUWD,351121
TANNMIMB,VWMBASNE,440401
TGOELCAG,LUENUFGA,3533072
TGOELCAG,TANNMIMB,334764
UGEQLMXM,ANWUJOKX,342756
UGEQLMXM,APQGTRMF,370211
UGEQLMXM,ATLDMDBO,41887940
UGEQLMXM,BTMOEMEP,14147140
UGEQLMXM,DBWLZWNK,499066
UGEQLMXM,DJBLNPNC,311795
UGEQLMXM,GYHKIVQT,18956556
UGEQLMXM,HXYSSRXE,4814822
UGEQLMXM,IGDVVKUD,334507
UGEQLMXM,JPBRUTWP,5689522
UGEQLMXM,LSOIUSXD,573956
UGEQLMXM,OGAFEHLU,356587
UGEQLMXM,QRKRBYJL,2393164
UGEQLMXM,QVLMOEYE,1250546
UGEQLMXM,SDWAYPIK,5831092
UGEQLMXM,VBYCLTYZ,818887
UGEQLMXM,VWMBASNE,409107
UGEQLMXM,WHPUAOID,332479
UIFPPCLR,ANWUJOKX,345974
UIFPPCLR,GYHKIVQT,18989111
UIFPPCLR,KJNSOAHR,13959651
UIFPPCLR,RJCAXSGH,4728766
UIFPPCLR,XUOIQPFL,2272269
UXSPKBJR,ANWUJOKX,335986
UXSPKBJR,APQGTRMF,379204
UXSPKBJR,ATLDMDBO,41896911
UXSPKBJR,DBWLZWNK,478286
UXSPKBJR,HXYSSRXE,4800496
UXSPKBJR,QRKRBYJL,2382245
UXSPKBJR,QVLMOEYE,1244464
UXSPKBJR,RAWUKQMJ,3868582
UXSPKBJR,RCBZUSIM,307351
UXSPKBJR,SDWAYPIK,5858049
UXSPKBJR,WQMVCOEM,345553
VBYCLTYZ,ANWUJOKX,313074
VBYCLTYZ,APQGTRMF,388127
VBYCLTYZ,ATLDMDBO,41905200
VBYCLTYZ,AXULOHBQ,359524
VBYCLTYZ,BLANHGYY,358937
VBYCLTYZ,BTMOEMEP,14167387
VBYCLTYZ,DJBLNPNC,336244
VBYCLTYZ,DNMPSKTB,4894836
VBYCLTYZ,FDXPMYGF,301779
VBYCLTYZ,GYHKIVQT,18956561
VBYCLTYZ,HXYSSRXE,4804529
VBYCLTYZ,IGDVVKUD,359548
VBYCLTYZ,JPBRUTWP,5700858
VBYCLTYZ,LPHPPJUG,1471667
VBYCLTYZ,QRKRBYJL,2411850
VBYCLTYZ,QVLMOEYE,1250813
VBYCLTYZ,RAWUKQMJ,3869036
VBYCLTYZ,RCBZUSIM,342943
VBYCLTYZ,SDWAYPIK,5854579
VMAQSTJE,KEUWZRKO,680898
VMAQSTJE,QSDCUCLB,336714
VMAQSTJE,TANNMIMB,333559
VMAQSTJE,XIFHSOWQ,381829
VUAFAIYJ,APQGTRMF,379813
VUAFAIYJ,LRVGFDFM,2113933
VUAFAIYJ,LSOIUSXD,590501
VUAFAIYJ,RJCAXSGH,4642747
VWMBASNE,CCLHWFWF,15053447
VWMBASNE,MIRCVAMV,376133
VWMBASNE,WBLJNPZQ,471769
VWMBASNE,XIPPENFQ,464954
WBLJNPZQ,ATLDMDBO,41922397
WBLJNPZQ,BJALXPFS,451763
WBLJNPZQ,CCLHWFWF,15089192
WBLJNPZQ,DEWLVASR,744858
WBLJNPZQ,HXYSSRXE,4857402
WBLJNPZQ,JPBRUTWP,5665533
WBLJNPZQ,LPHPPJUG,1481446
WBLJNPZQ,LRVGFDFM,2156325
WBLJNPZQ,LSOIUSXD,531395
WBLJNPZQ,OGAFEHLU,315000
WBLJNPZQ,QSDCUCLB,299869
WBLJNPZQ,RJGPVEXX,1001717
WBLJNPZQ,SDWAYPIK,5815573
WBLJNPZQ,UGEQLMXM,487584
WBLJNPZQ,VUAFAIYJ,1033023
WBLJNPZQ,ZKENOUDA,744297
WPQXWHYO,LUENUFGA,3548265
WPQXWHYO,RJGPVEXX,920708
WPQXWHYO,XIFHSOWQ,402896
WPQXWHYO,XIPPENFQ,436666
WQMVCOEM,JPBRUTWP,5670462
WQMVCOEM,OGAFEHLU,326561
WQMVCOEM,QSDCUCLB,304702
WQMVCOEM,TANNMIMB,302072
XIFHSOWQ,EVBVXETX,4974513
XIFHSOWQ,LUENUFGA,3561812
XIFHSOWQ,MIRCVAMV,366551
XIFHSOWQ,VWMBASNE,436370
XIFHSOWQ,WPQXWHYO,11437757
XIFHSOWQ,XIPPENFQ,437897
XIIEJNEE,ANWUJOKX,345527
XIIEJNEE,ATLDMDBO,41889528
XIIEJNEE,BTMOEMEP,14146314
XIIEJNEE,DJBLNPNC,304690
XIIEJNEE,FRHNWLNI,1046610
XIIEJNEE,FWUCPMMW,328631
XIIEJNEE,IGDVVKUD,327448
XIIEJNEE,QRKRBYJL,2396657
XIIEJNEE,QVLMOEYE,1254916
XIIEJNEE,SDWAYPIK,5837105
XIIEJNEE,SNHYOVBM,535331
XIIEJNEE,VBYCLTYZ,819799
XIIEJNEE,WHPUAOID,333998
XIPPENFQ,DDEXPPXU,328373
XIPPENFQ,MIRCVAMV,388276
XUOIQPFL,ANWUJOKX,319694
XUOIQPFL,APQGTRMF,324182
XUOIQPFL,ATLDMDBO,41898399
XUOIQPFL,DBWLZWNK,463961
XUOIQPFL,DNMPSKTB,4943813
XUOIQPFL,GYHKIVQT,18946866
XUOIQPFL,IGDVVKUD,305142
XUOIQPFL,JPBRUTWP,5655597
XUOIQPFL,LRVGFDFM,2146320
XUOIQPFL,OGAFEHLU,331077
XUOIQPFL,OKMBFVKS,2134955
XUOIQPFL,OXKURKXR,424762
XUOIQPFL,QRKRBYJL,2360463
XUOIQPFL,QSDCUCLB,350577
XUOIQPFL,QVLMOEYE,1205838
XUOIQPFL,RAWUKQMJ,3879824
XUOIQPFL,SDWAYPIK,5798864
XUOIQPFL,UGEQLMXM,515959
XUOIQPFL,VBYCLTYZ,796935
XUOIQPFL,VWMBASNE,386259
XUOIQPFL,XIIEJNEE,368720
ZCELVYQU,BLANHGYY,366898
ZCELVYQU,FWUCPMMW,334537
ZCELVYQU,KFQSHBNH,9876520
ZCELVYQU,RJCAXSGH,4672694
ZGJXVMNI,AANGBULD,770250
ZGJXVMNI,DEWLVASR,733039
ZGJXVMNI,DNMPSKTB,4979965
ZGJXVMNI,EVBVXETX,4885550
ZGJXVMNI,GYHKIVQT,18979269
ZGJXVMNI,RJGPVEXX,972218
ZGJXVMNI,SDWAYPIK,5852073
ZGJXVMNI,UGEQLMXM,521944
ZGJXVMNI,XUOIQPFL,2303011
ZGJXVMNI,ZKENOUDA,688877
ZKENOUDA,AANGBULD,801543
ZKENOUDA,APQGTRMF,389913
ZKENOUDA,DEWLVASR,714265
ZKENOUDA,FTSVTTSR,479054
ZKENOUDA,GYHKIVQT,19025422
ZKENOUDA,KFQSHBNH,9861056
ZKENOUDA,KJNSOAHR,13924590
ZKENOUDA,OKMBFVKS,2201790
ZKENOUDA,RJCAXSGH,4640890
ZKENOUDA,SDWAYPIK,5857299
ZKENOUDA,XIIEJNEE,337473
ZKENOUDA,XUOIQPFL,2313653
ZKENOUDA,ZCELVYQU,482952
ZXERAXWP,KFQSHBNH,9904278
ZXERAXWP,RJCAXSGH,4697962
ZXERAXWP,UIFPPCLR,487160
ZXERAXWP,WHPUAOID,334411
